"Album Title","Song title","Primary artist",Featuring,Authors,Composer,Producer,"Singer Instagram Handle","Label Name","Lyrics Languages","Music Genre","Music Sub-Genre","Music Mood","Release date","All Music Streaming Store","YouTube Music","YouTube Content ID",Explicit,"Caller Tune","Caller Tune Name","Caller Tune Duration","Ask to generate an ISRC","ISRC Code",UPC/EAN,"Catalogue number","Upload Cover","Upload Song",Status
"Ek Khas Jan Dukh De Gayi Re","Ek Khas Jan Dukh De Gayi Re ","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTET504GK3VH25A9F740ACJ.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Chhallo Teri sut ","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTET79M9J1B3DKNFRG3Y9A0.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Lut gayi piya rat haveli","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETAFMBTPTNXVH8YPJCWF2.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Bhari biji batabe","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETCVMDEH0FEFDFZ2ZWE6B.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Jwani Bhade pe ","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETG1M24M6DBA7ZNJQ4CTJ.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Chhora Aaja Mere gam","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETKKM10BN7RVQNC7BZJJ2.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Chhora Aiyo mere gam","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETPBM4BCKFG2SCT3F7ZRG.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Meri Rat Atariya aaja","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETRXMGKCJG1MTVCE382C0.mp3,Pending
"Ek Khas Jan Dukh De Gayi Re","Hero raja rat","Singer Ram Rawat, Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTET501RV80RQNE1C9SCGAV.jpg,uploads/songs/01JGTETW7NS5E3DX23MD71J8AG.mp3,Pending
"Kot kacheri thano","Kot kacheri thano","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1A677DKD41EE1S2QVWZ4.mp3,Pending
"Kot kacheri thano","Bheej gayo toliyo hamaro","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1D1M05FXAMRD9Y28X2ZN.mp3,Pending
"Kot kacheri thano","Tuto dil kam na aabe","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1FFMHTFDH12F2TB8FZKG.mp3,Pending
"Kot kacheri thano","Sun raja ho","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1J1M9ZA8Y6QVH2GMX9K8.mp3,Pending
"Kot kacheri thano","Din ugego","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1MHMKQ2EVQB2Z9Y7XPAA.mp3,Pending
"Kot kacheri thano","Sasure me yad aabe","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1Q7QV2YT6EEP6ZA2G5VJ.mp3,Pending
"Kot kacheri thano","Ud jaye dhajjiya","Singer Deva Meena , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTG1A64C2QC9MMHC9KDBRYW.jpg,uploads/songs/01JGTG1SDM736WJ9CRQW6ZM1BD.mp3,Pending
"Mat Dhook Hase Hur Pari","Mat Dhook Hase Hur pari","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3B4XD69T313799KSN741.mp3,Pending
"Mat Dhook Hase Hur Pari","Mene toite karo","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3DHMG2QXNCJKMA39NMYF.mp3,Pending
"Mat Dhook Hase Hur Pari","Mere baba patiya vale","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3G7MN4EXWTZPKM941G9Q.mp3,Pending
"Mat Dhook Hase Hur Pari","Raja na rahu tere sath","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3JZMXPA3ZD95TR606W1Y.mp3,Pending
"Mat Dhook Hase Hur Pari","Teri He jaye shadi o janu","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3NHMYTMD6ZKNADXF011W.mp3,Pending
"Mat Dhook Hase Hur Pari","Ek lal lagada vali","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3RSMS2W3F5322EMBN78A.mp3,Pending
"Mat Dhook Hase Hur Pari","Atta pe thadi nar","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3VNMY747BNTMYQ500Q4H.mp3,Pending
"Mat Dhook Hase Hur Pari","Gurjar ke karungi tere nam","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH3XDM5WCCD6NQF2E9MTQ1.mp3,Pending
"Mat Dhook Hase Hur Pari","Hame Log Dekhake jalte hai ","Singer Ranveer Gurjar , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGTH3B4TZWEESSEMNGNDZFSF.jpg,uploads/songs/01JGTH409MXZ38KSHDS49TTJSP.mp3,Pending
"Driver se vivah karaye meri mummy ","Driver se vivah karaye meri mummy ","Singer Sonu Kushwah , Singer Birendra Kushwah , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Sad,2025-01-05,Yes,Yes,No,No,No,,,Yes,,,,uploads/cover_photos/01JGTHN9V2KMZJ24RPW59X227X.jpg,uploads/songs/01JGTHN9WRNZ2MEX7A3WNY4PRE.mp3,Pending
"Piya Hamari sunale Batari Sonothiya Enterprises ","Piya sunale Batari Sonothiya Enterprises ","Singer Sultan kushwah , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Happy,2025-01-05,Yes,Yes,No,No,Yes,"Piya sunale Batari, Aagara shahar jana se, Unaki mashin ka kya kahana","00:00:50, 00:01:43, 00:02:50",Yes,,,,uploads/cover_photos/01JGTWFJS8TCBXJPQBNG7Z4CYW.jpg,uploads/songs/01JGTVP3CYQZM9X8Q59PAJDBB5.mp3,Pending
"Aagara me dekhi jabase Sonothiya Enterprises ","Aagara me dekhi jabase Sonothiya Enterprises ","Singer Sultan kushwah , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Happy,2025-01-05,Yes,Yes,No,No,Yes,"Aagara me dekhi jabase ganna Jus mashin, Sukhsingh kushwah Sonothiya Company, Subah aagara jaiyo chhora Tu, Sultan kushwah ke sun kar gane","00:00:40, 00:01:18, 00:02:24, 00:03:30",Yes,,,,uploads/cover_photos/01JGTWDHPRFHKD8ZZ66HSKG2GJ.jpg,uploads/songs/01JGTWDJBMWBRTXZ0Y05P9G34A.mp3,Pending
"Tu Shahar Aagara jaiyo Sonothiya Enterprises ","Tu Shahar Aagara jaiyo Sonothiya Enterprises ","Singer Sultan kushwah , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Happy,2025-01-05,Yes,Yes,No,No,Yes,"Tu Shahar Aagara jaiyo, Sukhsingh Bhaiya se miliyo, Dhola ne jab sun payi, Jaysingh ne kalam chalayi","00:00:18, 00:01:18, 00:02:18, 00:03:18",Yes,,,,uploads/cover_photos/01JGTWXP09X7VDV26A06DFZM7Q.jpg,uploads/songs/01JGTWXPCMTHCBB4DHVHRBZC5C.mp3,Pending
"Shahar Aagara Ghuman aayi Sonothiya Enterprises ","Shahar Aagara Ghuman aayi Sonothiya Enterprises ","Singer Sultan kushwah , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Happy,2025-01-05,Yes,Yes,No,No,Yes,"Shahar Aagara Ghuman aayi, He badi badi mashin banabe, Sabari mashin yaha se jabe","00:00:17, 00:01:20, 00:02:26",Yes,,,,uploads/cover_photos/01JGTX9P0EWQKHH08JYYTE4ZAC.jpg,uploads/songs/01JGTX9PCCZBF6B0M7RZBEFH1N.mp3,Pending
"Dil Tuto Pahli Baar","Dil Tuto Pahali Baar","nger Rahul Bhai ",,"First Call distribution indiya","Gaurav Chhela","Gaurav Chhela",Singer_lalu_bhai,"Singer Lalu Bhai",hindi,Folk,Hindustani,Sad,2025-01-06,Yes,Yes,Yes,Yes,Yes,"Dil Tuto Pahali Baar",0:23,Yes,,,,uploads/cover_photos/01JGV1QBNZ046J82TCTP1AJB84.jpg,uploads/songs/01JGV1QBS4YK7B4TK4Y7AZC7PD.mp3,Pending
"Ham Up Ke Shooter ","Ham Up Ke Shooter",bantirajasthani,bantirajasthani,"Banti Rajsthani","Banti Rajsthani","Shri Kishan",bantirajsthani07,"Sk Star Music",hindi,Folk,"Bollywood Folk",Happy,2025-05-01,Yes,Yes,Yes,No,Yes,.30,01.30,Yes,,,,uploads/cover_photos/01JGV945MBDQG5S29Y91MNB7JM.jpg,uploads/songs/01JGV97YSYRE6Q6KVV75N06ACK.mp3,Pending
"Babu Mile londiyabaj","Babu Mile Londiyabaj",,,"Rana Pratap","Sahdev Raja KMC","Ravindra Sagar",https://www.instagram.com/santosh_sain_jatara/profilecard/?igsh=aHdtamFzbjNlYXgx,"Krish Music Company",hindi,Indian,Romantic,Happy,2025-01-05,Yes,Yes,Yes,No,Yes,"Babu mile londiya baj",00:00:30,Yes,,,01,uploads/cover_photos/01JGVK7YJ52NK2MEKD6SN5VGHC.jpg,uploads/songs/01JGVK7YJ67TSPVX8YA85QGYCK.wav,Pending
"Kese Kate Jadkaro","Kese Kate Jadkaro","Nanna Bhaiya, Roshni Rajpoot",,"Rana Pratap","Sahdev Raja KMC","RANA PRATAP",https://www.instagram.com/nannabhaiya?igsh=MTl0dHJoOGt0bTN0eQ==,"Nanna Bhaiya Vlogs",hindi,Indian,Romantic,Sad,2025-01-06,Yes,Yes,Yes,No,No,,,Yes,,,,uploads/cover_photos/01JGX6N805NVAFRTM21ZE3MF3S.jpg,uploads/songs/01JGX6N806SNTHH6ZYST34XKSM.wav,Pending
"Kismatiye (Qishmatiye) Ke Dosh Naeikhe Sujeet Tiwari Zestfilm Sound Private Limited ","Kismatiye (Qishmatiye) Ke Dosh Naeikhe Sujeet Tiwari Zestfilm Sound Private Limited ","Sujeet Tiwari",,"A.R Vikky","Deepak Varma","Rajnish Raaza",https://www.instagram.com/tiwarisujeet7392/profilecard/?igsh=YTZjdGo4anZibzNn,"ZestFilm Sound Private Limited",hindi,Bollywood,"Bollywood Classical",Sad,2025-01-06,Yes,Yes,Yes,No,Yes,"Qishmatiye Ke Dosh, Gayielu Badanam Karke, Aawe Jab Yaad Roi, Kadh Ke Kareja Hamaar","1:15, 0:34, 2:01, 3:24",Yes,,,,uploads/cover_photos/01JGX7WSG268MAVB6XPN7P1FNR.jpg,uploads/songs/01JGX7WSG3ZTY7WPYYF1K9029R.mp3,Pending
